time_ind,spatial_ind,n_i,v_i,T_e,n_nI
1,54,1.7315e+17,7728.25,15.0931,3.78239e+17,7.07713
1,55,1.62965e+17,8021.67,15.4879,3.7824e+17,7.07713
1,56,1.54457e+17,8314.47,15.8166,3.78241e+17,7.07713
1,57,1.47407e+17,8606.59,16.0675,3.78242e+17,7.07713
1,58,1.41613e+17,8897.99,16.2339,3.78242e+17,7.07713
1,59,1.36889e+17,9188.65,16.3142,3.78243e+17,7.07713
1,60,1.33068e+17,9478.6,16.3114,3.78244e+17,7.07713
1,61,1.30001e+17,9767.87,16.2326,3.78245e+17,7.07713
1,62,1.2756e+17,10056.5,16.0875,3.78245e+17,7.07713
1,63,1.25631e+17,10344.6,15.8873,3.78246e+17,7.07713
1,64,1.24119e+17,10632.3,15.6435,3.78246e+17,7.07713
1,65,1.22943e+17,10919.5,15.3669,3.78247e+17,7.07713
1,66,1.22036e+17,11206.4,15.0678,3.78247e+17,7.07713
1,67,1.2134e+17,11492.9,14.7546,3.78248e+17,7.07713
1,68,1.20812e+17,11779.3,14.4346,3.78248e+17,7.07713
1,69,1.20413e+17,12065.4,14.1135,3.78249e+17,7.07713
1,70,1.20115e+17,12351.4,13.7958,3.78249e+17,7.07713
1,71,1.19893e+17,12637.3,13.4847,3.78249e+17,7.07713
1,72,1.1973e+17,12923.1,13.1825,3.7825e+17,7.07713
1,73,1.1961e+17,13208.8,12.8906,3.7825e+17,7.07713
1,74,1.19523e+17,13494.4,12.6097,3.7825e+17,7.07713
1,75,1.1946e+17,13780,12.3401,3.7825e+17,7.07713
1,76,1.19415e+17,14065.6,12.0816,3.78251e+17,7.07713
1,77,1.19383e+17,14351.2,11.8339,3.78251e+17,7.07713
1,78,1.19361e+17,14636.7,11.5964,3.78251e+17,7.07713
1,79,1.19345e+17,14922.3,11.3683,3.78251e+17,7.07713
1,80,1.19334e+17,15207.8,11.149,3.78251e+17,7.07713
1,81,1.19326e+17,15493.4,10.9377,3.78251e+17,7.07713
1,82,1.19321e+17,15778.9,10.7339,3.78251e+17,7.07713
1,83,1.19317e+17,16064.5,10.5368,3.78251e+17,7.07713
1,84,1.19315e+17,16350.1,10.3459,3.78252e+17,7.07713
1,85,1.19313e+17,16635.7,10.1607,3.78252e+17,7.07713
1,86,1.19312e+17,16921.4,9.98086,3.78252e+17,7.07713
1,87,1.19311e+17,17207.1,9.80599,3.78252e+17,7.07713
1,88,1.19311e+17,17492.8,9.63584,3.78252e+17,7.07713
1,89,1.1931e+17,17778.5,9.4702,3.78252e+17,7.07713
1,90,1.1931e+17,18064.2,9.30892,3.78252e+17,7.07713
1,91,1.1931e+17,18350,9.15189,3.78252e+17,7.07713
1,92,1.1931e+17,18635.8,8.99903,3.78252e+17,7.07713
1,93,1.1931e+17,18921.7,8.85031,3.78252e+17,7.07713
1,94,1.1931e+17,19207.6,8.70569,3.78252e+17,7.07713
1,95,1.19309e+17,19493.5,8.56518,3.78252e+17,7.07713
1,96,1.19309e+17,19779.5,8.42878,3.78252e+17,7.07713
1,97,1.19309e+17,20065.5,8.2965,3.78252e+17,7.07713
1,98,1.19298e+17,20360.1,7.09585,3.78252e+17,7.07713
1,99,1.19653e+17,20384.1,4.98106,3.78253e+17,7.07713
2,0,1.26479e+17,-1484.81,3.00074,3.62314e+19,7.28837
2,1,2.55574e+17,-1471.2,3.43339,3.7821e+19,7.28837
2,2,2.81355e+17,-1445.45,3.46631,3.78259e+19,7.28837
2,3,3.0958e+17,-1413.61,3.49064,3.78259e+19,7.28837
2,4,3.41132e+17,-1369.83,3.51221,3.7826e+19,7.28837
2,5,3.7608e+17,-1314.07,3.53155,3.7826e+19,7.28837
2,6,4.14417e+17,-1246.35,3.54913,3.78261e+19,7.28837
2,7,4.5606e+17,-1166.72,3.56545,3.78262e+19,7.28837
2,8,5.00838e+17,-1075.17,3.58109,3.78262e+19,7.28837
2,9,5.48484e+17,-971.74,3.59658,3.78263e+19,7.28837
2,10,5.98635e+17,-856.444,3.61248,3.78264e+19,7.28837
2,11,6.50825e+17,-729.304,3.62933,3.78264e+19,7.28837
2,12,7.04495e+17,-590.342,3.64768,3.78264e+19,7.28837
2,13,7.58992e+17,-439.581,3.66813,3.78263e+19,7.28837
2,14,8.13582e+17,-277.045,3.69129,3.78258e+19,7.28837
2,15,8.67467e+17,-102.757,3.71788,3.78243e+19,7.28837
2,16,9.198e+17,83.2567,3.74867,3.78203e+19,7.28837
2,17,9.69708e+17,280.975,3.78458,3.78098e+19,7.28837
2,18,1.01631e+18,490.379,3.82665,3.77821e+19,7.28837
2,19,1.05876e+18,711.462,3.87613,3.77097e+19,7.28837
2,20,1.09624e+18,944.244,3.9346,3.75221e+19,7.28837
2,21,1.12803e+18,1188.81,4.00425,3.70408e+19,7.28837
2,22,1.15346e+18,1445.43,4.0885,3.58406e+19,7.28837
2,23,1.17202e+18,1714.72,4.19311,3.30477e+19,7.28837
2,24,1.1833e+18,1997.97,4.32681,2.74759e+19,7.28837
2,25,1.18703e+18,2296.66,4.49693,1.91291e+19,7.28837
2,26,1.18313e+18,2610.03,4.69552,1.0774e+19,7.28837
2,27,1.17184e+18,2934.04,4.90186,5.18551e+18,7.28837
2,28,1.15341e+18,3266.42,5.10859,2.37955e+18,7.28837
2,29,1.12818e+18,3608.03,5.32495,1.17237e+18,7.28837
2,30,1.09665e+18,3960.42,5.56164,6.87926e+17,7.28837
2,31,1.05946e+18,4324.62,5.82566,4.9898e+17,7.28837
2,32,1.01735e+18,4701.25,6.12157,4.26087e+17,7.28837
2,33,9.71115e+17,5090.72,6.45316,3.9806e+17,7.28837
2,34,9.21612e+17,5493.36,6.82456,3.87271e+17,7.28837
2,35,8.69706e+17,5909.52,7.24098,3.83084e+17,7.28837
2,36,8.16258e+17,6339.56,7.70945,3.81423e+17,7.28837
2,37,7.621e+17,6783.88,8.23969,3.80724e+17,7.28837
2,38,7.08016e+17,7242.9,8.84517,3.80391e+17,7.28837
2,39,6.54723e+17,7717.07,9.54461,3.80197e+17,7.28837
2,40,6.02858e+17,8206.84,10.3635,3.80056e+17,7.28837
2,41,5.52971e+17,8712.67,11.3359,3.79936e+17,7.28837
2,42,5.05514e+17,9234.95,12.5063,3.79826e+17,7.28837
2,43,4.60843e+17,9774,13.9308,3.79722e+17,7.28837
2,44,4.19221e+17,10330,15.6767,3.79625e+17,7.28837
2,45,3.80816e+17,10902.9,17.8194,3.79535e+17,7.28837
2,46,3.45713e+17,11492.2,20.4336,3.79453e+17,7.28837
2,47,3.13925e+17,12096.7,23.5723,3.79378e+17,7.28837
2,48,2.85434e+17,12708.3,27.5204,3.7931e+17,7.28837
2,49,2.60088e+17,13313,31.5366,3.79258e+17,7.28837
2,50,2.76433e+17,8537.94,18.0517,3.79307e+17,7.28837
2,51,2.24922e+17,7069.2,16.1747,3.78222e+17,7.28837
2,52,2.00435e+17,7175.57,16.7631,3.78223e+17,7.28837
2,53,1.85766e+17,7464.88,17.5688,3.78224e+17,7.28837
2,54,1.73587e+17,7761.13,18.3477,3.78225e+17,7.28837
2,55,1.63315e+17,8056.64,19.0543,3.78226e+17,7.28837
2,56,1.54723e+17,8351.25,19.6632,3.78228e+17,7.28837
2,57,1.47594e+17,8644.84,20.1554,3.78229e+17,7.28837
2,58,1.41727e+17,8937.33,20.52,3.7823e+17,7.28837
2,59,1.36936e+17,9228.7,20.7551,3.78231e+17,7.28837
2,60,1.33055e+17,9518.96,20.866,3.78232e+17,7.28837
2,61,1.29935e+17,9808.18,20.8637,3.78233e+17,7.28837
2,62,1.27447e+17,10096.4,20.7628,3.78234e+17,7.28837
2,63,1.25479e+17,10383.8,20.5793,3.78235e+17,7.28837
2,64,1.23933e+17,10670.5,20.3294,3.78236e+17,7.28837
2,65,1.22728e+17,10956.5,20.0284,3.78237e+17,7.28837
2,66,1.21797e+17,11241.9,19.6896,3.78238e+17,7.28837
2,67,1.21082e+17,11526.9,19.3246,3.78239e+17,7.28837
2,68,1.20537e+17,11811.5,18.943,3.7824e+17,7.28837
2,69,1.20125e+17,12095.9,18.5524,3.7824e+17,7.28837
2,70,1.19816e+17,12379.9,18.1587,3.78241e+17,7.28837
2,71,1.19586e+17,12663.8,17.7663,3.78242e+17,7.28837
2,72,1.19416e+17,12947.5,17.3784,3.78242e+17,7.28837
2,73,1.19291e+17,13231.2,16.9971,3.78243e+17,7.28837
2,74,1.192e+17,13514.7,16.6238,3.78243e+17,7.28837
2,75,1.19134e+17,13798.2,16.2593,3.78244e+17,7.28837
2,76,1.19087e+17,14081.6,15.9039,3.78244e+17,7.28837
2,77,1.19053e+17,14365,15.5575,3.78245e+17,7.28837
2,78,1.19029e+17,14648.3,15.22,3.78245e+17,7.28837
2,79,1.19012e+17,14931.7,14.891,3.78246e+17,7.28837
2,80,1.19e+17,15215.1,14.5702,3.78246e+17,7.28837
2,81,1.18992e+17,15498.4,14.257,3.78246e+17,7.28837
2,82,1.18986e+17,15781.8,13.9511,3.78247e+17,7.28837
2,83,1.18982e+17,16065.2,13.6521,3.78247e+17,7.28837
2,84,1.18979e+17,16348.7,13.3597,3.78247e+17,7.28837
2,85,1.18977e+17,16632.1,13.0737,3.78247e+17,7.28837
2,86,1.18976e+17,16915.6,12.7938,3.78248e+17,7.28837
2,87,1.18974e+17,17199.1,12.5199,3.78248e+17,7.28837
2,88,1.18974e+17,17482.7,12.2519,3.78248e+17,7.28837
2,89,1.18973e+17,17766.3,11.9898,3.78248e+17,7.28837
2,90,1.18973e+17,18049.9,11.7335,3.78248e+17,7.28837
2,91,1.18972e+17,18333.6,11.4831,3.78249e+17,7.28837
2,92,1.18972e+17,18617.3,11.2386,3.78249e+17,7.28837
2,93,1.18972e+17,18901.1,11.0001,3.78249e+17,7.28837
2,94,1.18971e+17,19185,10.7676,3.78249e+17,7.28837
2,95,1.18971e+17,19468.9,10.5411,3.78249e+17,7.28837
2,96,1.18971e+17,19752.8,10.3208,3.78249e+17,7.28837
2,97,1.18963e+17,20043.1,9.30108,3.7825e+17,7.28837
2,98,1.18944e+17,20341.1,7.3382,3.78251e+17,7.28837
2,99,1.19298e+17,20360.1,4.98106,3.78252e+17,7.28837
3,0,1.26479e+17,-1484.81,3.00074,3.62314e+19,6.93441
3,1,2.55451e+17,-1469.68,3.54264,3.78196e+19,6.93441
3,2,2.81525e+17,-1440.93,3.57977,3.7826e+19,6.93441
3,3,3.09733e+17,-1408.48,3.60566,3.78261e+19,6.93441
3,4,3.41248e+17,-1364.1,3.62824,3.78262e+19,6.93441
3,5,3.76139e+17,-1307.76,3.64806,3.78262e+19,6.93441
3,6,4.14397e+17,-1239.47,3.66562,3.78263e+19,6.93441
3,7,4.55936e+17,-1159.28,3.68148,3.78264e+19,6.93441
3,8,5.00581e+17,-1067.21,3.69625,3.78265e+19,6.93441
3,9,5.48064e+17,-963.288,3.71053,3.78266e+19,6.93441
3,10,5.9802e+17,-847.539,3.72492,3.78267e+19,6.93441
3,11,6.49985e+17,-719.993,3.74001,3.78268e+19,6.93441
3,12,7.03399e+17,-580.68,3.75641,3.78268e+19,6.93441
3,13,7.57613e+17,-429.631,3.77474,3.78267e+19,6.93441
3,14,8.11898e+17,-266.878,3.79566,3.78262e+19,6.93441
3,15,8.65461e+17,-92.452,3.81991,3.78248e+19,6.93441
3,16,9.17464e+17,93.6133,3.84831,3.78208e+19,6.93441
3,17,9.6704e+17,291.288,3.8818,3.78103e+19,6.93441
3,18,1.01332e+18,500.547,3.92146,3.77826e+19,6.93441
3,19,1.05547e+18,721.379,3.96864,3.77104e+19,6.93441
3,20,1.09268e+18,953.808,4.02508,3.75229e+19,6.93441
3,21,1.12422e+18,1197.94,4.09333,3.70419e+19,6.93441
3,22,1.14947e+18,1454.11,4.17758,3.58424e+19,6.93441
3,23,1.16789e+18,1723.13,4.2851,3.30512e+19,6.93441
3,24,1.17907e+18,2006.72,4.42703,2.74821e+19,6.93441
3,25,1.18272e+18,2306.83,4.6113,1.91381e+19,6.93441
3,26,1.17877e+18,2622.58,4.82675,1.07831e+19,6.93441
3,27,1.16756e+18,2948.69,5.0468,5.19193e+18,6.93441
3,28,1.14933e+18,3282,5.26215,2.38322e+18,6.93441
3,29,1.12438e+18,3623.58,5.48458,1.17445e+18,6.93441
3,30,1.09318e+18,3975.45,5.72783,6.89286e+17,6.93441
3,31,1.05636e+18,4339.01,6.00097,5.00036e+17,6.93441
3,32,1.01466e+18,4715.07,6.31008,4.27013e+17,6.93441
3,33,9.68871e+17,5104.17,6.66044,3.98924e+17,6.93441
3,34,9.19825e+17,5506.76,7.05796,3.88096e+17,6.93441
3,35,8.68382e+17,5923.25,7.51017,3.83878e+17,6.93441
3,36,8.1539e+17,6354.12,8.02721,3.82187e+17,6.93441
3,37,7.6167e+17,6799.85,8.62299,3.81459e+17,6.93441
3,38,7.07995e+17,7260.96,9.3167,3.81096e+17,6.93441
3,39,6.55075e+17,7737.98,10.1346,3.80871e+17,6.93441
3,40,6.03537e+17,8231.44,11.1124,3.80699e+17,6.93441
3,41,5.53927e+17,8741.84,12.2972,3.80549e+17,6.93441
3,42,5.06693e+17,9269.6,13.7499,3.8041e+17,6.93441
3,43,4.6219e+17,9814.97,15.5457,3.80281e+17,6.93441
3,44,4.20679e+17,10377.9,17.7715,3.80159e+17,6.93441
3,45,3.82333e+17,10957.9,20.5143,3.80047e+17,6.93441
3,46,3.47239e+17,11553.3,23.8252,3.79945e+17,6.93441
3,47,3.15427e+17,12157.3,27.6519,3.79852e+17,6.93441
3,48,2.86844e+17,12735.6,30.3682,3.79771e+17,6.93441
3,49,2.60777e+17,14054.7,49.0494,3.79703e+17,6.93441
3,50,2.88464e+17,9187.49,25.3774,3.79681e+17,6.93441
3,51,2.31922e+17,7242.12,18.5715,3.78203e+17,6.93441
3,52,2.0199e+17,7221.24,19.3494,3.78204e+17,6.93441
3,53,1.86339e+17,7492.53,20.4344,3.78205e+17,6.93441
3,54,1.74033e+17,7790.11,21.5142,3.78207e+17,6.93441
3,55,1.63675e+17,8087.74,22.4944,3.78208e+17,6.93441
3,56,1.55e+17,8384.22,23.3377,3.78209e+17,6.93441
3,57,1.47792e+17,8679.35,24.0202,3.7821e+17,6.93441
3,58,1.41852e+17,8973.02,24.5306,3.78212e+17,6.93441
3,59,1.36994e+17,9265.17,24.8696,3.78213e+17,6.93441
3,60,1.33053e+17,9555.81,25.0473,3.78215e+17,6.93441
3,61,1.29881e+17,9845.03,25.0803,3.78216e+17,6.93441
3,62,1.27346e+17,10132.9,24.9888,3.78217e+17,6.93441
3,63,1.25338e+17,10419.7,24.794,3.78219e+17,6.93441
3,64,1.23757e+17,10705.4,24.5165,3.7822e+17,6.93441
3,65,1.22524e+17,10990.2,24.1749,3.78222e+17,6.93441
3,66,1.21568e+17,11274.3,23.7855,3.78223e+17,6.93441
3,67,1.20833e+17,11557.7,23.3619,3.78225e+17,6.93441
3,68,1.20272e+17,11840.7,22.9152,3.78226e+17,6.93441
3,69,1.19847e+17,12123.3,22.4544,3.78227e+17,6.93441
3,70,1.19527e+17,12405.5,21.9863,3.78228e+17,6.93441
3,71,1.19288e+17,12687.5,21.516,3.78229e+17,6.93441
3,72,1.19111e+17,12969.2,21.0473,3.7823e+17,6.93441
3,73,1.18981e+17,13250.9,20.5827,3.78231e+17,6.93441
3,74,1.18885e+17,13532.4,20.1241,3.78232e+17,6.93441
3,75,1.18816e+17,13813.8,19.6725,3.78233e+17,6.93441
3,76,1.18766e+17,14095.1,19.2286,3.78234e+17,6.93441
3,77,1.1873e+17,14376.4,18.7926,3.78235e+17,6.93441
3,78,1.18705e+17,14657.7,18.3647,3.78236e+17,6.93441
3,79,1.18686e+17,14939,17.9447,3.78236e+17,6.93441
3,80,1.18673e+17,15220.2,17.5325,3.78237e+17,6.93441
3,81,1.18664e+17,15501.5,17.128,3.78238e+17,6.93441
3,82,1.18658e+17,15782.8,16.7308,3.78238e+17,6.93441
3,83,1.18653e+17,16064.1,16.3409,3.78239e+17,6.93441
